sep=;
Type;FSWP-26;
Version;1.90SP1;
Date;18.Apr 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;10000000000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;20000000000.000000;Hz
Span;20000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;300000.000000;Hz
VBW;300000.000000;Hz
SWT;0.060000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
5184815184.8151760101;-80.26215362548828125;
5204795204.7951955795;-80.75048828125;
5224775224.7752151489;-82.09511566162109375;
5244755244.7552347183;-83.086090087890625;
5264735264.7352542877;-80.5096588134765625;
5284715284.7152738571;-83.2093658447265625;
5304695304.6952934265;-82.65185546875;
5324675324.6753129959;-81.3061981201171875;
5344655344.6553325653;-82.876220703125;
5364635364.6353521347;-83.1613311767578125;
5384615384.6153717041;-82.87969970703125;
5404595404.5953912735;-82.140289306640625;
5424575424.5754108429;-84.32342529296875;
5444555444.5554304123;-82.12300872802734375;
5464535464.5354499817;-81.8560638427734375;
5484515484.5154695511;-82.32120513916015625;
5504495504.4954891205;-82.8232574462890625;
5524475524.4755086899;-81.30593109130859375;
5544455544.4555282593;-82.810821533203125;
5564435564.4355478287;-81.25144195556640625;
5584415584.4155673981;-80.72849273681640625;
5604395604.3955869675;-81.56305694580078125;
5624375624.3756065369;-80.52213287353515625;
5644355644.3556261063;-83.8523712158203125;
5664335664.3356456757;-80.2945404052734375;
5684315684.3156652451;-83.54497528076171875;
5704295704.2956848145;-82.49579620361328125;
5724275724.2757043839;-83.31562042236328125;
5744255744.2557239532;-82.32210540771484375;
5764235764.2357435226;-79.71932220458984375;
5784215784.215763092;-83.5015869140625;
5804195804.1957826614;-82.59313201904296875;
5824175824.1758022308;-83.080810546875;
5844155844.1558218002;-81.89385986328125;
5864135864.1358413696;-81.8535003662109375;
5884115884.115860939;-82.46401214599609375;
5904095904.0958805084;-82.4632568359375;
5924075924.0759000778;-63.591098785400390625;
5944055944.0559196472;-83.734283447265625;
5964035964.0359392166;-82.5742340087890625;
5984015984.015958786;-83.67346954345703125;
6003996003.9959783554;-83.59471893310546875;
6023976023.9759979248;-80.8062744140625;
6043956043.9560174942;-80.93906402587890625;
6063936063.9360370636;-82.03408050537109375;
6083916083.916056633;-80.49063873291015625;
6103896103.8960762024;-82.27666473388671875;
6123876123.8760957718;-82.2766265869140625;
6143856143.8561153412;-82.18198394775390625;
6163836163.8361349106;-82.22811126708984375;
6183816183.81615448;-81.8206329345703125;
6203796203.7961740494;-82.6462249755859375;
6223776223.7761936188;-81.2202606201171875;
6243756243.7562131882;-82.2554931640625;
6263736263.7362327576;-80.73438262939453125;
6283716283.716252327;-81.265106201171875;
6303696303.6962718964;-77.95650482177734375;
6323676323.6762914658;-81.07975006103515625;
6343656343.6563110352;-81.38761138916015625;
6363636363.6363306046;-84.03839874267578125;
6383616383.616350174;-83.0931243896484375;
6403596403.5963697433;-81.19225311279296875;
6423576423.5763893127;-83.10506439208984375;
6443556443.5564088821;-81.642578125;
6463536463.5364284515;-81.03847503662109375;
6483516483.5164480209;-81.83040618896484375;
6503496503.4964675903;-81.29825592041015625;
6523476523.4764871597;-80.235107421875;
6543456543.4565067291;-79.80368804931640625;
6563436563.4365262985;-80.1856231689453125;
6583416583.4165458679;-81.0000152587890625;
6603396603.3965654373;-81.41867828369140625;
6623376623.3765850067;-82.299224853515625;
6643356643.3566045761;-79.83286285400390625;
6663336663.3366241455;-82.9677734375;
6683316683.3166437149;-82.6146392822265625;
6703296703.2966632843;-83.157135009765625;
6723276723.2766828537;-83.090850830078125;
6743256743.2567024231;-83.01200103759765625;
6763236763.2367219925;-81.67668914794921875;
6783216783.2167415619;-82.996856689453125;
6803196803.1967611313;-81.83138275146484375;
6823176823.1767807007;-82.4994964599609375;
6843156843.1568002701;-80.33242034912109375;
6863136863.1368198395;-80.04001617431640625;
6883116883.1168394089;-80.39598846435546875;
6903096903.0968589783;-62.307647705078125;
6923076923.0768785477;-79.9597625732421875;
6943056943.0568981171;-80.9768218994140625;
6963036963.0369176865;-80.463348388671875;
6983016983.0169372559;-80.35706329345703125;
7002997002.9969568253;-81.23738861083984375;
7022977022.9769763947;-81.16698455810546875;
7042957042.9569959641;-81.8953094482421875;
7062937062.9370155334;-81.781890869140625;
7082917082.9170351028;-81.7991943359375;
7102897102.8970546722;-82.20224761962890625;
7122877122.8770742416;-81.0617828369140625;
7142857142.857093811;-82.0356597900390625;
7162837162.8371133804;-80.6363372802734375;
7182817182.8171329498;-81.6112060546875;
7202797202.7971525192;-80.46722412109375;
7222777222.7771720886;-81.25510406494140625;
7242757242.757191658;-81.92354583740234375;
7262737262.7372112274;-47.158306121826171875;
7282717282.7172307968;-83.52925872802734375;
7302697302.6972503662;-81.23006439208984375;
7322677322.6772699356;-80.82909393310546875;
7342657342.657289505;-82.400177001953125;
7362637362.6373090744;-81.0868377685546875;
7382617382.6173286438;-82.27956390380859375;
7402597402.5973482132;-81.76427459716796875;
7422577422.5773677826;-81.2729339599609375;
7442557442.557387352;-82.0006256103515625;
7462537462.5374069214;-80.98464202880859375;
7482517482.5174264908;-82.04773712158203125;
7502497502.4974460602;-81.83850860595703125;
7522477522.4774656296;-81.68424224853515625;
7542457542.457485199;-83.3944091796875;
7562437562.4375047684;-81.46636199951171875;
7582417582.4175243378;-81.24939727783203125;
7602397602.3975439072;-82.75672149658203125;
7622377622.3775634766;-80.52657318115234375;
7642357642.357583046;-81.732208251953125;
7662337662.3376026154;-83.6788330078125;
7682317682.3176221848;-81.74626922607421875;
7702297702.2976417542;-82.38304901123046875;
7722277722.2776613235;-82.1208953857421875;
7742257742.2576808929;-82.92969512939453125;
7762237762.2377004623;-83.56786346435546875;
7782217782.2177200317;-81.63834381103515625;
7802197802.1977396011;-82.27557373046875;
7822177822.1777591705;-82.43363189697265625;
7842157842.1577787399;-82.17185211181640625;
7862137862.1377983093;-81.799560546875;
7882117882.1178178787;-81.958404541015625;
7902097902.0978374481;-82.244354248046875;
7922077922.0778570175;-82.28235626220703125;
7942057942.0578765869;-83.512939453125;
7962037962.0378961563;-82.2474365234375;
7982017982.0179157257;-81.92449188232421875;
8001998001.9979352951;-83.66680145263671875;
8021978021.9779548645;-82.31714630126953125;
8041958041.9579744339;-82.92241668701171875;
8061938061.9379940033;-81.2163238525390625;
8081918081.9180135727;-83.227935791015625;
8101898101.8980331421;-82.5407257080078125;
8121878121.8780527115;-80.49616241455078125;
8141858141.8580722809;-82.12580108642578125;
8161838161.8380918503;-82.72759246826171875;
8181818181.8181114197;-82.91944122314453125;
8201798201.7981309891;-80.801361083984375;
8221778221.7781505585;-82.44188690185546875;
8241758241.7581701279;-81.9919281005859375;
8261738261.7381896973;-80.806671142578125;
8281718281.7182092667;-82.2977447509765625;
8301698301.6982288361;-81.17952728271484375;
8321678321.6782484055;-82.29302978515625;
8341658341.6582679749;-81.00707244873046875;
8361638361.6382875443;-82.90057373046875;
8381618381.6183071136;-81.99811553955078125;
8401598401.598326683;-83.0090484619140625;
8421578421.5783462524;-81.5851287841796875;
8441558441.5583658218;-82.72756195068359375;
8461538461.5383853912;-81.48372650146484375;
8481518481.5184049606;-84.352630615234375;
8501498501.49842453;-82.15557861328125;
8521478521.4784440994;-84.10638427734375;
8541458541.4584636688;-82.8148040771484375;
8561438561.4384832382;-81.7495880126953125;
8581418581.4185028076;-82.84626007080078125;
8601398601.3985233307;-62.51857757568359375;
8621378621.3785438538;-81.9980010986328125;
8641358641.3585643768;-83.079620361328125;
8661338661.3385848999;-80.39894866943359375;
8681318681.318605423;-84.19312286376953125;
8701298701.298625946;-81.1138153076171875;
8721278721.2786464691;-81.6674346923828125;
8741258741.2586669922;-82.5699462890625;
8761238761.2386875153;-83.23885345458984375;
8781218781.2187080383;-82.7923431396484375;
8801198801.1987285614;-82.86297607421875;
8821178821.1787490845;-83.73355865478515625;
8841158841.1587696075;-81.66297149658203125;
8861138861.1387901306;-81.81021881103515625;
8881118881.1188106537;-80.46826171875;
8901098901.0988311768;-82.0654296875;
8921078921.0788516998;-81.1204681396484375;
8941058941.0588722229;-80.57647705078125;
8961038961.038892746;-83.8274688720703125;
8981018981.018913269;-82.69686126708984375;
9000999000.9989337921;-82.0807952880859375;
9020979020.9789543152;-82.91976165771484375;
9040959040.9589748383;-82.7249908447265625;
9060939060.9389953613;-81.4068450927734375;
9080919080.9190158844;-81.55855560302734375;
9100899100.8990364075;-81.96253204345703125;
9120879120.8790569305;-83.91309356689453125;
9140859140.8590774536;-82.64694976806640625;
9160839160.8390979767;-82.41020965576171875;
9180819180.8191184998;-80.3349151611328125;
9200799200.7991390228;-55.30319976806640625;
9220779220.7791595459;-79.49929046630859375;
9240759240.759180069;-81.500091552734375;
9260739260.739200592;-80.33869171142578125;
9280719280.7192211151;-80.8172760009765625;
9300699300.6992416382;-81.932464599609375;
9320679320.6792621613;-81.1043701171875;
9340659340.6592826843;-80.4299163818359375;
9360639360.6393032074;-82.45458984375;
9380619380.6193237305;-79.23993682861328125;
9400599400.5993442535;-79.387359619140625;
9420579420.5793647766;-81.10561370849609375;
9440559440.5593852997;-79.30138397216796875;
9460539460.5394058228;-79.58941650390625;
9480519480.5194263458;-80.81830596923828125;
9500499500.4994468689;-79.4354705810546875;
9520479520.479467392;-80.96776580810546875;
9540459540.459487915;-80.26645660400390625;
9560439560.4395084381;-28.4280242919921875;
9580419580.4195289612;-81.06090545654296875;
9600399600.3995494843;-80.20163726806640625;
9620379620.3795700073;-80.41922760009765625;
9640359640.3595905304;-80.6128997802734375;
9660339660.3396110535;-78.35498809814453125;
9680319680.3196315765;-80.84061431884765625;
9700299700.2996520996;-80.162322998046875;
9720279720.2796726227;-81.02582550048828125;
9740259740.2596931458;-81.60057830810546875;
9760239760.2397136688;-81.1175994873046875;
9780219780.2197341919;-81.02506256103515625;
9800199800.199754715;-80.8149261474609375;
9820179820.179775238;-80.1626129150390625;
9840159840.1597957611;-80.6744842529296875;
9860139860.1398162842;-81.063812255859375;
9880119880.1198368073;-79.67584228515625;
9900099900.0998573303;-82.69366455078125;
9920079920.0798778534;-82.19161224365234375;
9940059940.0598983765;-83.94870758056640625;
9960039960.0399188995;-82.81571197509765625;
9980019980.0199394226;-81.6790313720703125;
9999999999.9999599457;-81.40605926513671875;
10019980019.979980469;-83.81829833984375;
10039960039.960000992;-82.551727294921875;
10059940059.940021515;-82.2392425537109375;
10079920079.920042038;-80.991729736328125;
10099900099.900062561;-83.71143341064453125;
10119880119.880083084;-82.99073028564453125;
10139860139.860103607;-80.83982086181640625;
10159840159.84012413;-83.16668701171875;
10179820179.820144653;-83.802154541015625;
10199800199.800165176;-82.28983306884765625;
10219780219.780185699;-79.90511322021484375;
10239760239.760206223;-81.93521881103515625;
10259740259.740226746;-80.38474273681640625;
10279720279.720247269;-81.2807464599609375;
10299700299.700267792;-81.79583740234375;
10319680319.680288315;-81.82938385009765625;
10339660339.660308838;-81.754180908203125;
10359640359.640329361;-83.77742767333984375;
10379620379.620349884;-82.20074462890625;
10399600399.600370407;-82.32718658447265625;
10419580419.58039093;-80.44930267333984375;
10439560439.560411453;-83.0366058349609375;
10459540459.540431976;-81.34798431396484375;
10479520479.520452499;-81.86180877685546875;
10499500499.500473022;-82.15854644775390625;
10519480519.480493546;-80.540771484375;
10539460539.460514069;-82.78194427490234375;
10559440559.440534592;-79.5086517333984375;
10579420579.420555115;-81.2418365478515625;
10599400599.400575638;-80.94829559326171875;
10619380619.380596161;-81.88516998291015625;
10639360639.360616684;-81.61199951171875;
10659340659.340637207;-81.787994384765625;
10679320679.32065773;-81.49555206298828125;
10699300699.300678253;-80.37110137939453125;
10719280719.280698776;-83.59473419189453125;
10739260739.260719299;-83.0617218017578125;
10759240759.240739822;-81.498779296875;
10779220779.220760345;-83.555908203125;
10799200799.200780869;-81.5254669189453125;
10819180819.180801392;-81.13946533203125;
10839160839.160821915;-82.8180694580078125;
10859140859.140842438;-80.94980621337890625;
10879120879.120862961;-80.69806671142578125;
10899100899.100883484;-58.767314910888671875;
10919080919.080904007;-81.88123321533203125;
10939060939.06092453;-82.45550537109375;
10959040959.040945053;-82.10878753662109375;
10979020979.020965576;-81.3039398193359375;
10999000999.000986099;-83.2652130126953125;
11018981018.981006622;-82.05690765380859375;
11038961038.961027145;-81.028106689453125;
11058941058.941047668;-82.37143707275390625;
11078921078.921068192;-80.09192657470703125;
11098901098.901088715;-83.2033843994140625;
11118881118.881109238;-81.44757843017578125;
11138861138.861129761;-83.28269195556640625;
11158841158.841150284;-83.97193145751953125;
11178821178.821170807;-84.54853057861328125;
11198801198.80119133;-82.04366302490234375;
11218781218.781211853;-81.57363128662109375;
11238761238.761232376;-81.45230865478515625;
11258741258.741252899;-79.565093994140625;
11278721278.721273422;-82.6695404052734375;
11298701298.701293945;-82.13282012939453125;
11318681318.681314468;-80.49700927734375;
11338661338.661334991;-82.603759765625;
11358641358.641355515;-82.37529754638671875;
11378621378.621376038;-84.4668731689453125;
11398601398.601396561;-82.69518280029296875;
11418581418.581417084;-83.35366058349609375;
11438561438.561437607;-81.89359283447265625;
11458541458.54145813;-84.3011322021484375;
11478521478.521478653;-80.50272369384765625;
11498501498.501499176;-70.7908477783203125;
11518481518.481519699;-81.39382171630859375;
11538461538.461540222;-82.34960174560546875;
11558441558.441560745;-83.2270050048828125;
11578421578.421581268;-81.670806884765625;
11598401598.401601791;-82.7459564208984375;
11618381618.381622314;-84.0359954833984375;
11638361638.361642838;-83.66883087158203125;
11658341658.341663361;-82.73531341552734375;
11678321678.321683884;-82.536224365234375;
11698301698.301704407;-81.96016693115234375;
11718281718.28172493;-81.98906707763671875;
11738261738.261745453;-82.11666107177734375;
11758241758.241765976;-82.65099334716796875;
11778221778.221786499;-81.353424072265625;
11798201798.201807022;-84.68802642822265625;
11818181818.181827545;-82.5532684326171875;
11838161838.161848068;-82.61629486083984375;
11858141858.141868591;-52.60118865966796875;
11878121878.121889114;-83.25568389892578125;
11898101898.101909637;-81.15958404541015625;
11918081918.081930161;-82.2462005615234375;
11938061938.061950684;-81.92543792724609375;
11958041958.041971207;-80.808807373046875;
11978021978.02199173;-82.562103271484375;
11998001998.002012253;-81.7409820556640625;
12017982017.982032776;-83.7752685546875;
